This list contains all games supported by FB Alpha.

8595 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 8ballact	|   NW	| "8ballact"						| 		| 1984	| Miscellaneous	| 		| Seatongrove Ltd (Magic Eletronics USA |
| bagman	|   NW	| "bagman"						| 		| 1982	| Miscellaneous	| 		| Valadon Automation			|
| choplift	|   NW	| "choplift"						| 		| 1985	| System 1	| 		| Sega					|
| ckong		|   NW	| "ckong"						| 		| 1981	| Miscellaneous	| 		| Falcon				|
| ddungeon	| D NW	| "ddungeon"						| 		| 1992	| Miscellaneous	| 		| Game Room				|
| dockman	|   NW	| "dockman"						| 		| 1982	| Miscellaneous	| 		| Taito Corporation			|
| drgw3		| D NW	| "drgw3"						| 		| 1998	| PolyGameMaster| 		| IGS					|
| dwex		| D NW	| "dwex"						| 		| 1998	| PolyGameMaster| 		| IGS					|
| f1dream	|   NW	| "f1dream"						| 		| 1988	| Miscellaneous	| 		| Capcom (Romstar license)		|
| funcube2	| D NW	| "funcube2"						| 		| 2001	| Newer Seta	| 		| Namco					|
| funcube4	| D NW	| "funcube4"						| 		| 2001	| Newer Seta	| 		| Namco					|
| hachamf	|   NW	| "hachamf"						| 		| 1991	| NMK16		| 		| NMK					|
| hero		|   NW	| "hero"						| 		| 1984	| Miscellaneous	| 		| Century Electronics / Seatongrove Ltd	|
| hunchbak	|   NW	| "hunchbak"						| 		| 1983	| Miscellaneous	| 		| Century Electronics			|
| huncholy	|   NW	| "huncholy"						| 		| 1984	| Miscellaneous	| 		| Seatongrove Ltd			|
| jockeyc	| D NW	| "jockeyc"						| 		| 1990	| Seta		| 		| [Seta] (Visco license)		|
| kiwame	| D NW	| "kiwame"						| 		| 1994	| Seta		| 		| Athena				|
| mainevt	| D NW	| "mainevt"						| 		| 1988	| GX799		| 		| Konami				|
| maniacsq	|   NW	| "maniacsq"						| 		| 1996	| Miscellaneous	| 		| Gaelco				|
| monsterz	| D NW	| "monsterz"						| 		| 19??	| Galaxian	| 		| Nihon					|
| mtlchamp	| D NW	| "mtlchamp"						| 		| 1993	| GX234		| 		| Konami				|
| mwalk		|   NW	| "mwalk"						| 		| 1990	| System 18	| 		| Sega					|
| pce_benkei	| D NW	| "pce_benkei"						| 		| 1989	| PC Engine	| 		| Sunsoft				|
| pce_cdsys	| D NW	| "pce_cdsys"						| 		| 19??	| PC Engine	| 		| Hudson				|
| pce_gecd	| D NW	| "pce_gecd"						| 		| 19??	| PC Engine	| 		| Games Express				|
| pce_nikopun	| D NW	| "pce_nikopun"						| 		| 1991	| PC Engine	| 		| NHK Enterprise			|
| pce_pcdenj	| D NW	| "pce_pcdenj"						| 		| 1992	| PC Engine	| 		| Hudson				|
| pce_ptennis	| D NW	| "pce_ptennis"						| 		| 1993	| PC Engine	| 		| Hudson				|
| pce_scdsys	| D NW	| "pce_scdsys"						| 		| 19??	| PC Engine	| 		| Hudson				|
| pce_tennokoe	| D NW	| "pce_tennokoe"					| 		| 1991	| PC Engine	| 		| Hudson				|
| pce_xserd	| D NW	| "pce_xserd"						| 		| 1990	| PC Engine	| 		| Masiya				|
| phoenix	|   NW	| "phoenix"						| 		| 1980	| Miscellaneous	| 		| Amstar				|
| sg1k_magtree	|   NW	| "sg1k_magtree"					| 		| 198?	| Sega SG-1000	| 		| Aaronix				|
| tg_airzonk	| D NW	| "tg_airzonk"						| 		| 1992	| TurboGrafx 16	| 		| Hudson Soft				|
| tg_cdsys	| D NW	| "tg_cdsys"						| 		| 19??	| TurboGrafx 16	| 		| NEC					|
| tg_ghostman	|   NW	| "tg_ghostman"						| 		| 1992	| TurboGrafx 16	| 		| TTI					|
| tg_scdsys	| D NW	| "tg_scdsys"						| 		| 19??	| TurboGrafx 16	| 		| NEC					|
| thepit	|   NW	| "thepit"						| 		| 1992	| Miscellaneous	| 		| Taito					|
| victnine	| D NW	| "victnine"						| 		| 1984	| Miscellaneous	| 		| Taito					|
| wpksoc	| D NW	| "wpksoc"						| 		| 1995	| M107		| 		| Jaleco				|
| xsedae	| D NW	| "xsedae"						| 		| 1993	| Miscellaneous	| 		| Dream Island				|
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| 99lstwar	|  	| '99: The Last War					| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwara	|  	| '99: The Last War (alternate)				| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Kyugo		| Kyugo		| 					|
| sg1k_jb007a	|  	| 007 James Bond (Jpn, v2.6, OMV)			| sg1k_jb007	| 1984	| Tsukuda Origin| Sega SG-1000	| 					|
| sg1k_jb007	|  	| 007 James Bond (Jpn, v2.7, OMV)			| 		| 1984	| Tsukuda Origin| Sega SG-1000	| 					|
| sg1k_jb007t	|  	| 007 James Bond (Tw)					| sg1k_jb007	| 1984?	| Aaronix	| Sega SG-1000	| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| md_12in1	|  	| 12 in 1						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_13mahjan	|  	| 13 Ma Jiang - 98 Mei Shao Nu Pian (Chi)		| 		| 1998	| BBD		| Sega Megadrive| 					|
| md_16tongnk	|  	| 16 Ton (Jpn, Game no Kandume MegaCD Rip)		| md_16ton	| 1991	| Sega		| Sega Megadrive| 					|
| md_16ton	|  	| 16 Ton (Jpn, SegaNet)					| 		| 1991	| Sega		| Sega Megadrive| 					|
| md_16zhan	|  	| 16 Zhang Ma Jiang (Chi)				| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| sgx_1941	|  	| 1941 - Counter Attack					| 		| 1991	| Hudson	| SuperGrafx	| 					|
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941r1	|  	| 1941 - Counter Attack (World)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942abl	|  	| 1942 (Revision A, bootleg)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					|
| pce_1943kai	|  	| 1943 Kai						| 		| 1991	| Naxat		| PC Engine	| 					|
| 1943kai	|  	| 1943 Kai: Midway Kaisen (Japan)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ja	|  	| 1943: Midway Kaisen (Japan)				| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943j		|  	| 1943: Midway Kaisen (Japan, Rev B)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b		|  	| 1943: The Battle of Midway (bootleg set 1, hack of Jap| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b2	|  	| 1943: The Battle of Midway (bootleg set 2, hack of Jap| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943		|  	| 1943: The Battle of Midway (Euro)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ja2	|  	| 1943: The Battle of Midway (hack of Japan set)	| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943u		|  	| 1943: The Battle of Midway (US)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944ad	|  	| 1944 - the loop master (000620 USA Phoenix Edition, al| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| bgareggabl	|  	| 1945 Part 2 (Chinese hack of Battle Garaga)		| bgaregga	| 1996	| hack		| Toaplan GP9001| 					|
| 1945kiii	|  	| 1945k III						| 		| 2000	| Oriental	| Miscellaneous	| 					|
| 19xxar1	|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr2	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edi| 19xx		| 1995	| bootleg	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr1	|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxa		|  	| 19XX - the war against destiny (960104 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|  	| 19XX - the war against destiny (960104 Japan, yellow c| 19xx		| 1996	| Capcom	| CPS2		| 					|
