
MAME4ALL GAME LIST (2270 romsets)
---------------------------------

Name:     Description:
--------- ------------
88games   "'88 Games"
99lstwra  "'99 The Last War (alternate)"
99lstwar  "'99 The Last War"
005       "005"
vsyard    "10 Yard Fight (Vs. version 11/05/84)"
vsyard2   "10 Yard Fight (Vs. version, set 2)"
yard      "10 Yard Fight"
1941j     "1941 - Counter Attack (Japan)"
1941      "1941 - Counter Attack (World)"
1942      "1942 (set 1)"
1942a     "1942 (set 2)"
1942b     "1942 (set 3)"
1943j     "1943 - The Battle of Midway (Japan)"
1943      "1943 - The Battle of Midway (US)"
1943kai   "1943 Kai"
openice   "2 On 2 Open Ice Challenge (rev 1.21)"
2020bb    "2020 Super Baseball (set 1)"
2020bbh   "2020 Super Baseball (set 2)"
3countb   "3 Count Bout / Fire Suplex"
bowler    "4 Player Bowling"
4dwarrio  "4-D Warriors"
600       "600"
64streej  "64th. Street - A Detective Story (Japan)"
64street  "64th. Street - A Detective Story (World)"
720       "720 Degrees (set 1)"
720b      "720 Degrees (set 2)"
800fath   "800 Fathoms"
apb       "APB - All Points Bulletin (set 1)"
apb2      "APB - All Points Bulletin (set 2)"
aso       "ASO - Armored Scrum Object"
actfancj  "Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)"
actfanc1  "Act-Fancer Cybernetick Hyper Weapon (World revision 1)"
actfancr  "Act-Fancer Cybernetick Hyper Weapon (World revision 2)"
hatena    "Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan)"
aerofgtb  "Aero Fighters (Turbo Force hardware set 1)"
aerofgtc  "Aero Fighters (Turbo Force hardware set 2)"
sonicwi2  "Aero Fighters 2 / Sonic Wings 2"
sonicwi3  "Aero Fighters 3 / Sonic Wings 3"
aerofgt   "Aero Fighters"
aeroboto  "Aeroboto"
aodk      "Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku"
koshien   "Ah Eikou no Koshien (Japan)"
airbustr  "Air Buster (Japan)"
airduel   "Air Duel (Japan)"
airwolf   "Air Wolf"
ajaxj     "Ajax (Japan)"
ajax      "Ajax"
hcastlej  "Akuma-Jou Dracula (Japan)"
alcon     "Alcon"
lwingsjp  "Ales no Tsubasa (Japan)"
alexkidd  "Alex Kidd (set 1)"
alexkida  "Alex Kidd (set 2)"
alibaba   "Ali Baba and 40 Thieves"
alieninv  "Alien Invasion Part II"
astorm2p  "Alien Storm (2 Player)"
astormbl  "Alien Storm (bootleg)"
astorm    "Alien Storm"
aliensyj  "Alien Syndrome (Japan)"
aliensyn  "Alien Syndrome (set 1)"
aliensya  "Alien Syndrome (set 2)"
aliensyb  "Alien Syndrome (set 3)"
aliensj   "Aliens (Japan)"
aliensu   "Aliens (US)"
aliens    "Aliens (World set 1)"
aliens2   "Aliens (World set 2)"
aafbb     "All American Football (rev B)"
aafbd2p   "All American Football (rev D, 2 Players)"
aafb      "All American Football (rev E)"
alleymas  "Alley Master"
alpham2   "Alpha Mission II / ASO II - Last Guardian"
alpine    "Alpine Ski (set 1)"
alpinea   "Alpine Ski (set 2)"
altbeast  "Altered Beast (Version 1)"
altbeas2  "Altered Beast (Version 2)"
maze      "Amazing Maze"
ambush    "Ambush"
horshoes  "American Horseshoes (US)"
amidaro   "Amidar (Olympia)"
amidars   "Amidar (Scramble hardware)"
amidaru   "Amidar (Stern)"
amidar    "Amidar"
amigo     "Amigo"
androdun  "Andro Dunos"
anteater  "Anteater"
appoooh   "Appoooh"
arabiana  "Arabian (Atari)"
arabian   "Arabian"
arbalest  "Arbalester"
arcadecl  "Arcade Classics (prototype)"
archriv2  "Arch Rivals (rev 2.0)"
archrivl  "Arch Rivals (rev 4.0)"
area88    "Area 88 (Japan)"
argus     "Argus"
rygarj    "Argus no Senshi (Japan)"
arkarea   "Ark Area"
arkangc   "Arkanoid (Game Corporation bootleg)"
arknoidj  "Arkanoid (Japan)"
arkbl2    "Arkanoid (Japanese bootleg Set 2)"
arkatayt  "Arkanoid (Tayto bootleg, Japanese)"
arknoidu  "Arkanoid (US)"
arkanoid  "Arkanoid (World)"
ark2jp    "Arkanoid - Revenge of DOH (Japan)"
ark2us    "Arkanoid - Revenge of DOH (US)"
arkanoi2  "Arkanoid - Revenge of DOH (World)"
armwrest  "Arm Wrestling"
armedf    "Armed Formation"
armora    "Armor Attack"
armorcar  "Armored Car (set 1)"
armorca2  "Armored Car (set 2)"
aof       "Art of Fighting / Ryuuko no Ken"
aof2      "Art of Fighting 2 / Ryuuko no Ken 2"
aof3      "Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden"
ashura    "Ashura Blaster (Japan)"
ashurau   "Ashura Blaster (US)"
assaultj  "Assault (Japan)"
assaultp  "Assault Plus (Japan)"
assault   "Assault"
asteroib  "Asteroids (bootleg on Lunar Lander hardware)"
asteroi1  "Asteroids (rev 1)"
asteroid  "Asteroids (rev 2)"
astdelu1  "Asteroids Deluxe (rev 1)"
astdelux  "Asteroids Deluxe (rev 2)"
astrob1   "Astro Blaster (version 1)"
astrob2   "Astro Blaster (version 2)"
astrob    "Astro Blaster (version 3)"
astrof    "Astro Fighter (set 1)"
astrof2   "Astro Fighter (set 2)"
astrof3   "Astro Fighter (set 3)"
astinvad  "Astro Invader"
astyanax  "Astyanax, The"
abaseb    "Atari Baseball (set 1)"
abaseb2   "Atari Baseball (set 2)"
atarifb4  "Atari Football (4 players)"
atarifb1  "Atari Football (revision 1)"
atarifb   "Atari Football (revision 2)"
soccer    "Atari Soccer"
ataxxj    "Ataxx (Japan)"
ataxx     "Ataxx (set 1)"
ataxxa    "Ataxx (set 2)"
athena    "Athena"
atomicp   "Atomic Point"
aurail    "Aurail (set 1)"
auraila   "Aurail (set 2)"
avalnche  "Avalanche"
avengers  "Avengers (set 1)"
avenger2  "Avengers (set 2)"
avspirit  "Avenging Spirit"
aztarac   "Aztarac"
azurian   "Azurian Attack"
baddudes  "Bad Dudes vs. Dragonninja (US)"
badlands  "Bad Lands"
bagmans   "Bagman (Stern set 1)"
bagmans2  "Bagman (Stern set 2)"
bagman    "Bagman"
bakatono  "Bakatonosama Mahjong Manyuki"
ballbomb  "Balloon Bomber"
baluba    "Baluba-louk no Densetsu"
bandido   "Bandido"
bankp     "Bank Panic"
baraduke  "Baraduke"
barrier   "Barrier"
bstars2   "Baseball Stars 2"
bstars    "Baseball Stars Professional"
basebal2  "Baseball The Season II"
bsktball  "Basketball"
batman    "Batman"
batsugun  "Batsugun"
batugnsp  "Batsugun Special Ver."
battlntj  "Battlantis (Japan)"
battlnts  "Battlantis"
bchopper  "Battle Chopper"
btlfield  "Battle Field (Japan)"
flipshot  "Battle Flip Shot"
battlane  "Battle Lane Vol. 5 (set 1)"
battlan2  "Battle Lane Vol. 5 (set 2)"
battlan3  "Battle Lane Vol. 5 (set 3)"
battlera  "Battle Rangers (World)"
bzone     "Battle Zone (set 1)"
bzone2    "Battle Zone (set 2)"
atlantis  "Battle of Atlantis (set 1)"
atlants2  "Battle of Atlantis (set 2)"
battroad  "Battle-Road, The"
